CUI,Description,DescriptionSource,Description-GPT
C0042459,"The venous trunk which returns blood from the head, neck, upper extremities and chest.",MSH,The major vein that carries deoxygenated blood from the upper part of the body back to the heart.
C0012817,"A pouch or sac developed from a tubular or saccular organ, such as the GASTROINTESTINAL TRACT.",MSH,"A pouch or sac derived from a tubular organ, like the gastrointestinal tract, is called a diverticulum."
C2986411,A condition superior to an earlier condition.,NCI,"Condition with improvement from previous state, such as increased functionality or decreased symptoms."
C0007272,"Either of the two principal arteries on both sides of the neck that supply blood to the head and neck; each divides into two branches, the internal carotid artery and the external carotid artery.",MSH,"The carotid arteries are major blood vessels in the neck, supplying blood to the head and neck region."
C0040408,"A muscular organ in the mouth that is covered with pink tissue called mucosa, tiny bumps called papillae, and thousands of taste buds. The tongue is anchored to the mouth and is vital for chewing, swallowing, and for speech.",MSH,"The tongue is a vital muscular organ in the mouth for chewing, swallowing, taste, and speech."
C0036429,"A pathological process consisting of hardening or fibrosis of an anatomical structure, often a vessel or a nerve.",MSH,"Pathological process causing hardening or fibrosis of arteries, nerves, or other anatomical structures."
C0439534,"The magnitude of something in a particular direction, especially length or width or height.",NCI,"Measurement of size in a specific direction, such as length, width, or height, is known as magnitude in medical terms."
C0205132,A mark that is long relative to its width; a length (straight or curved) without breadth or thickness; the trace of a moving point.,NCI,"A long, narrow mark left by a moving point, without breadth or thickness, known as a line in geometry."
C0039259,An extension of the posterior of an animal body beyond the TORSO.,MSH,"Extension of the posterior, beyond the torso, in an animal body."
C0332293,None,None,None
C0000723,Works consisting of lists of shortened forms of written words or phrases used for brevity. Acronyms are included here.,MSH,"Lists of shortened words and phrases, including acronyms, used for brevity are called medical abbreviations and acronyms."
C0026264,The valve between the left atrium and left ventricle of the heart.,MSH,The valve that regulates blood flow from the left atrium to the left ventricle in the heart.
C0517667,None,None,None
C0935598,"Pertaining to a plane containing a line parallel to the long axis of the subject's body, and additionally giving a left or right view. This plane is perpendicular to both the transaxial and coronal planes.",NCI,"A plane parallel to the body's long axis providing left or right views, perpendicular to transaxial and coronal planes."
C0332466,None,None,None
C0034014,A bone that forms the lower and anterior part of each side of the hip bone.,MSH,The ischium is the bone that makes up the lower and anterior part of each side of the hips.
C0040452,"The part of a tooth from the neck to the apex, embedded in the alveolar process and covered with cementum. A root may be single or divided into several branches, usually identified by their relative position, e.g., lingual root or buccal root. Single-rooted teeth include mandibular first and second premolars and the maxillary second premolar teeth. The maxillary first premolar has two roots in most cases. Maxillary molars have three roots. (Jablonski, Dictionary of Dentistry, 1992, p690)",MSH,The root of a tooth is the part embedded in the alveolar process and covered with cementum.
C0027540,"The death of cells in an organ or tissue due to disease, injury or failure of the blood supply.",MSH,"Cell death in tissue due to disease, injury, or lack of blood supply is known as necrosis."
C0599946,A weakening in force or intensity.,NCI,Force or intensity weakening is described as a decrease in strength or power.
C0205315,Slanting or inclined in direction or course or position; neither parallel nor perpendicular nor right-angular.,NCI,"The medical keyword refers to something that is neither parallel nor perpendicular, but rather slanted or inclined."
C0227972,"The upper, smaller part of the prostate between the ejaculatory ducts and the urethra.",NCI,The upper section of the prostate located between the ejaculatory ducts and the urethra is referred to as.
C0221204,None,None,None
C0677535,A layer of material that encloses space or that encloses a structure.,NCI,"A protective cover that surrounds an area or structure - the initial description of ""medical keyword""."
C0001613,"The outer layer of the adrenal gland. It is derived from MESODERM and comprised of three zones (outer ZONA GLOMERULOSA, middle ZONA FASCICULATA, and inner ZONA RETICULARIS) with each producing various steroids preferentially, such as ALDOSTERONE; HYDROCORTISONE; DEHYDROEPIANDROSTERONE; and ANDROSTENEDIONE. Adrenal cortex function is regulated by pituitary ADRENOCORTICOTROPIN.",MSH,"The adrenal cortex, composed of three zones, produces various steroids under the regulation of pituitary adrenocorticotropic hormone."
C0332453,An interruption or interference in continuity.,NCI,"Something that disrupts the normal flow or process, causing a break or stoppage in progress or function."
C0517668,None,None,None
C0033572,"A gland in males that surrounds the neck of the URINARY BLADDER and the URETHRA. It secretes a substance that liquefies coagulated semen. It is situated in the pelvic cavity behind the lower part of the PUBIC SYMPHYSIS, above the deep layer of the triangular ligament, and rests upon the RECTUM.",MSH,The prostate gland in males secretes a substance that liquefies semen and is located in the pelvic cavity.
C0229090,The eye positioned in the left orbit.,NCI,"The left eye is located within the left orbit of the skull, where it is protected and supported."
C0332147,None,None,None
C0029180,Bony cavity that holds the eyeball and its associated tissues and appendages.,MSH,The bony orbit is the protective housing for the eyeball and its related structures within the skull.
C0205284,A boundary line or the area immediately inside the boundary.,NCI,Boundary line or inside area important for medical understanding.
C0162861,A large vessel supplying the whole length of the small intestine except the superior part of the duodenum. It also supplies the cecum and the ascending part of the colon and about half the transverse part of the colon. It arises from the anterior surface of the aorta below the celiac artery at the level of the first lumbar vertebra.,MSH,"The superior mesenteric artery supplies most of the small intestine, cecum, ascending colon, and half of the transverse colon."
C0522501,None,None,None
C0441468,"Still image produced from radiation-sensitive materials (sensitive to light, electron beams, or nuclear radiation), generally by means of the chemical action of light on a sensitive film, paper, glass, or metal. Photographs may be positive or negative, opaque or transparent.",MSH,"A photograph is a still image created through light's chemical action on radiation-sensitive materials, displaying positive or negative, opaque or transparent results."
C0205097,Constituting or relating to a tail; situated near the tail.,NCI,Pertaining to the tail; positioned in close proximity to the end of the body.
C0043240,Restoration of integrity to traumatized tissue.,MSH,Healing process to repair damaged tissues and return to normal function after injury or trauma occurs.
C0011666,The portion of the aorta following the aortic arch passing into the chest and abdomen creating the thoracic and abdominal segments.,NCI,"The descending aorta proceeds from the aortic arch, extending into the chest and abdomen, forming two separate sections."
C3263722,Trastorno resultante del daño corporal físico,SCTSPA,Resulting disorder from physical bodily harm.
C0029053,The quality of being opaque to a degree; the degree to which something reduces the passage of light.,NCI,"Opacity refers to an object's ability to block light to varying degrees, determining its level of translucency."
C0006863,Compound isolated from Cannabis sativa extract.,MSH,Compound from Cannabis sativa extract used for medicinal purposes.
C1317574,A brief written record.,NCI,A brief written record is a concise documentation of important information in a medical context.
C4055506,A state characterized by the gradual increase in entities or substances.,NCI,"Gradual accumulation of substances or entities defines the medical condition described as a ""state characterized by the gradual increase."""
C0226069,A blood vessel arising from the bifurcation of the pulmonary artery that carries deoxygenated blood to the left lung.,NCI,The left pulmonary artery branches off the main pulmonary artery to transport deoxygenated blood to the left lung.
C0376579,"Heparin-binding proteins that exhibit a number of inflammatory and immunoregulatory activities. Originally identified as secretory products of MACROPHAGES, these chemokines are produced by a variety of cell types including NEUTROPHILS; FIBROBLASTS; and EPITHELIAL CELLS. They likely play a significant role in respiratory tract defenses.",MSH,"Heparin-binding proteins with inflammatory and immunoregulatory actions, secreted by various cells, likely vital for respiratory defense mechanisms."
C0333348,Relating to inflammation.,NCI,"Related to swelling and redness caused by the body's response to injury, infection, or irritation."
C0221205,"The hue of that portion of the visible spectrum lying between orange and green, evoked in the human observer by radiant energy with wavelengths of approximately 570 to 590 nanometers; any of a group of colors of a hue resembling that of ripe lemons and varying in lightness and saturation.",NCI,"The medical keyword is a color between orange and green, with wavelengths of 570-590 nanometers resembling ripe lemons."
C0994163,"Non-invasive diagnostic technique for visualizing the PANCREATIC DUCTS and BILE DUCTS without the use of injected CONTRAST MEDIA or x-ray. MRI scans provide excellent sensitivity for duct dilatation, biliary stricture, and intraductal abnormalities.",MSH,"MRI scans can visualize pancreatic and bile ducts without contrast media, accurately detecting duct dilatation and intraductal abnormalities."
C2985494,None,None,None
C0152279,"Cavity in each of the CEREBRAL HEMISPHERES derived from the cavity of the embryonic NEURAL TUBE. They are separated from each other by the SEPTUM PELLUCIDUM, and each communicates with the THIRD VENTRICLE by the foramen of Monro, through which also the choroid plexuses (CHOROID PLEXUS) of the lateral ventricles become continuous with that of the third ventricle.",MSH,"Cavities in cerebral hemispheres connected by foramen of Monro and choroid plexus, separated by septum pellucidum."
C0806909,The largest possible quantity or degree.,NCI,The maximum extent or amount of something that is achievable or permissible within a medical context.
C1708059,Execute or satisfy a request or order; supply or furnish.,NCI,Fulfilling a medical order involves supplying and executing requests to meet a patient's needs and treatment plan.
C0023216,"The region of the lower limb in animals, extending from the gluteal region to the FOOT, and including the BUTTOCKS; HIP; and LEG.",MSH,"The lower limb in animals extends from the gluteal region to the foot, including the buttocks, hip, and leg."
C0227844,A space inside the uterus lined by a layer of mucus membranes called the endometrium.,NCI,The endometrial lining in the uterus creates a receptive environment for implantation and nourishment of a fertilized egg.
C0205102,Inside or closer to the inside of the body or object.,NCI,"Internal or situated towards the center of the body or object, as opposed to external or superficial positions."
C0005558,Removal and pathologic examination of specimens from the living body.,MSH,Surgical removal and analysis of tissue samples for diagnostic purposes from a patient while they are alive.
C0026845,Contractile tissue that produces movement in animals.,MSH,"Contractile tissue in animals creates movement; essential for voluntary and involuntary activities like exercise, breathing, and digestion."
C0030266,"A country in CENTRAL AMERICA, bordering both the Caribbean Sea and the North Pacific Ocean, between COLOMBIA and COSTA RICA.",MSH,"The highlighted keyword is a Central American country located between Colombia and Costa Rica, bordering the Caribbean Sea and Pacific Ocean."
C0032743,"An imaging technique using compounds labelled with short-lived positron-emitting radionuclides (such as carbon-11, nitrogen-13, oxygen-15 and fluorine-18) to measure cell metabolism. It has been useful in study of soft tissues such as CANCER; CARDIOVASCULAR SYSTEM; and brain. SINGLE-PHOTON EMISSION-COMPUTED TOMOGRAPHY is closely related to positron emission tomography, but uses isotopes with longer half-lives and resolution is lower.",MSH,"Positron emission tomography uses short-lived radioactive compounds to measure cell metabolism in soft tissues like cancer, heart, and brain."
C0687676,Happening at a time subsequent to a reference time; later in time or order.,NCI,Happening after a specific time; occurring later in sequence.
C0009452,"The exchange or transmission of ideas, attitudes, or beliefs between individuals or groups.",MSH,"Communication is the sharing of thoughts, feelings, and information between people, facilitating understanding and connection within relationships."
C0332554,None,None,None
C0205100,On or near an edge or constituting an outer boundary; the outer area.,NCI,"Located at the outer boundary, on or near the edge; designated as the outer area or end of a structure."
C3272310,An imaging technique of the heart and neighboring structures involving helical computed tomography and computer software to generate high-resolution 2-dimensional and 3-dimensional images. (ACC),NCI,Helical CT imaging of the heart and nearby structures creates detailed 2D and 3D images using computer software.
C0443289,None,None,None
C0552389,A section created by a plane cutting a solid perpendicular to its longest axis.,NCI,The keyword represents a cross-sectional view obtained by cutting through a solid perpendicular to its main axis.
C0037088,"Clinical manifestations that can be either objective when observed by a physician, or subjective when perceived by the patient.",MSH,"Clinical manifestations are either observed by a physician or perceived by the patient, objective or subjective, respectively."
C0203108,"The creation of an image of the kidneys and urinary system using an intravenously administered contrast medium. By taking several X-rays over a short period of time, it is possible to check for the proper functioning of both kidneys and the urinary system.",NCI,X-rays with contrast dye show kidney and urinary system function by imaging kidneys and urinary system post contrast injection.
C0020912,"The process of generating an image from the raw data, or set of unprocessed measurements, made by an imaging system. (from AmershamHealth Medcyclopaedia)",NCI,Generating an image from unprocessed measurements made by an imaging system is the process of image reconstruction.
C0029433,The process of bone formation. Histogenesis of bone including ossification.,MSH,"Bone formation involves the process of histogenesis, which includes ossification of bone structures for growth and repair."
C0442071,None,None,None
C0547040,"<b>Description:</b>Provides more than identified, but not as much as universal. There are not expected to be many of these.",HL7V3.0,"This medical keyword provides moderate information, falling between identified and universal terms, with rarity expected in its occurrence."
C0262950,The structural organ comprised of specialized connective tissue that forms the skeletal components of the body.,NCI,The skeletal system is made up of specialized connective tissue forming the structural framework of the body.
C0005978,"Steel wires, often threaded through the skin, soft tissues, and bone, used to fix broken bones. Kirschner wires or apparatus also includes the application of traction to the healing bones through the wires.",MSH,"Steel wires are inserted through skin, soft tissues, and bone to hold broken bones together and aid healing."
C0026847,"A group of disorders marked by progressive degeneration of motor neurons in the spinal cord resulting in weakness and muscular atrophy, usually without evidence of injury to the corticospinal tracts. Diseases in this category include Werdnig-Hoffmann disease and later onset SPINAL MUSCULAR ATROPHIES OF CHILDHOOD, most of which are hereditary. (Adams et al., Principles of Neurology, 6th ed, p1089)",MSH,"Progressive degeneration of motor neurons in spinal cord, causing weakness and muscular atrophy without corticospinal tract injury."
C0700321,"Limited in number, quantity, magnitude or extent.",NCI,"Limited in terms of quantity, magnitude, or extent, implying a finite or restricted availability or scope of something."
C0222601,"The hemispheric projection, including the mammary gland, located on the anterior portion of the chest, lateral to the midline, on the side of the body to the west when facing north.",NCI,"The mammary gland is a hemispheric projection on the chest, located on the side of the body facing west."
C0024943,"A republic in western Africa, southwest of ALGERIA and west of MALI. Its capital is Nouakchott.",MSH,"""Republic in western Africa bordering Algeria and Mali, with Nouakchott as its capital."""
C0205123,"Of, or related to, or in the direction of the front of the body.",NCI,"Anterior refers to the front of the body or a structure, and is used in anatomical and medical contexts."
C1881712,Problem associated with perforations that lead to bursting of the device.,NCI,Bursting of device caused by perforations is a serious problem in medical procedures requiring immediate attention and intervention.
C0444099,None,None,None
C0202660,None,None,None
C0015677,"The glyceryl esters of a fatty acid, or of a mixture of fatty acids. They are generally odorless, colorless, and tasteless if pure, but they may be flavored according to origin. Fats are insoluble in water, soluble in most organic solvents. They occur in animal and vegetable tissue and are generally obtained by boiling or by extraction under pressure. They are important in the diet (DIETARY FATS) as a source of energy. (Grant & Hackh's Chemical Dictionary, 5th ed)",MSH,"Fats are glyceryl esters of fatty acids, important for energy source, insoluble in water but soluble in organic solvents."
C0038536,Presence of air or gas in the subcutaneous tissues of the body.,MSH,Air or gas in the subcutaneous tissues causes swelling and may result from trauma or medical procedures.
C1517945,A gradual decline in amount or activity.,NCI,The keyword describes a slow decrease in quantity or function of something in a medical context.
C0021933,"A form of intestinal obstruction caused by the PROLAPSE of a part of the intestine into the adjoining intestinal lumen. There are four types: colic, involving segments of the LARGE INTESTINE; enteric, involving only the SMALL INTESTINE; ileocecal, in which the ILEOCECAL VALVE prolapses into the CECUM, drawing the ILEUM along with it; and ileocolic, in which the ileum prolapses through the ileocecal valve into the COLON.",MSH,"Intestinal prolapse causes obstruction when part of the intestine moves into the adjoining lumen, leading to various types."
C0004457,The second cervical vertebra.,MSH,The axis is the second cervical vertebra that articulates with the first cervical vertebra (atlas) for neck rotation.
C0205144,None,None,None
C0003501,The valve between the left ventricle and the ascending aorta which prevents backflow into the left ventricle.,MSH,"Left ventricle to ascending aorta valve prevents backflow to left ventricle, ensuring unidirectional blood flow in the heart."
C0222331,Fatty tissue under the SKIN through out the body.,MSH,"The keyword is 'subcutaneous adipose tissue,' referring to fat underneath the skin present throughout the entire body."
C0443294,None,None,None
C0012737,"The separation and isolation of tissues for surgical purposes, or for the analysis or study of their structures.",MSH,Tissue dissection for surgery or research involves separating and isolating tissues to study their structures and functions.
C0000962,The part of the pelvis that comprises the pelvic socket where the head of FEMUR joins to form HIP JOINT (acetabulofemoral joint).,MSH,The acetabulum is part of the pelvis where the femur head joins to form the hip joint.
C0032005,"A small, unpaired gland situated in the SELLA TURCICA. It is connected to the HYPOTHALAMUS by a short stalk which is called the INFUNDIBULUM.",MSH,"The pituitary gland is a small, unpaired gland connected to the hypothalamus by the infundibulum in the sella turcica."
C0450363,The property of being measured and described using three orthogonal directions.,NCI,Three-dimensional measurement and description is the characteristic of being measured and described using three orthogonal directions.
C0332490,The shape of a circle.,NCI,The circular shape is a common representation in medical imagery and can be used to depict various anatomical structures.
C0043262,The region of the upper limb between the metacarpus and the FOREARM.,MSH,"The wrist is the area between the hand and the forearm, where the metacarpus bones connect to the forearm."
C0042449,The vessels carrying blood away from the CAPILLARY BEDS.,MSH,Arteries transport oxygenated blood from the capillary beds to the rest of the body for circulation and nourishment.
C0230127,None,None,None
C0002045,A procedure consisting of a sequence of algebraic formulas and/or logical steps to calculate or determine a given task.,MSH,A medical keyword describing a process using formulas and steps to calculate or determine a task.
C0007457,"A group distinguished by classification according to physical features. This group, also called Europoid, centers around the Mediterranean Sea but includes other parts of Europe. (from Winick: Dictionary of Anthropology, 1972; American Heritage Dictionary, 2d College ed)",MSH,"Europoid group categorized by physical features, primarily from regions surrounding the Mediterranean Sea in Europe."
C0016538,The prediction or projection of the nature of future problems or existing conditions based upon the extrapolation or interpretation of existing scientific data or by the application of scientific methodology.,MSH,Predicting future problems or conditions in medicine using existing scientific data and methods is called medical forecasting.
C0043251,"Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.",MSH,Injury is harm caused by an external force that may or may not involve a break in the body's structure.
C0021308,"Formation of an infarct, which is NECROSIS in tissue due to local ISCHEMIA resulting from obstruction of BLOOD CIRCULATION, most commonly by a THROMBUS or EMBOLUS.",MSH,"Infarct formation is tissue necrosis caused by local ischemia from blood circulation blockage, typically by a thrombus or embolus."
C0040960,The valve consisting of three cusps situated between the right atrium and right ventricle of the heart.,MSH,"The tricuspid valve separates the right atrium and right ventricle in the heart, allowing blood to flow smoothly."
C0750729,"Passage through time; duration; a systematic or/and orderly succession; a sequence, e.g. course of treatment; a mode of action or behavior; natural development, typical manner of proceeding.",NCI,"Time passage in an orderly manner, sequence of treatment or behavior, natural development and typical course of action."
C0030471,"Air-filled spaces located within the bones around the NASAL CAVITY. They are extensions of the nasal cavity and lined by the ciliated NASAL MUCOSA. Each sinus is named for the cranial bone in which it is located, such as the ETHMOID SINUS; the FRONTAL SINUS; the MAXILLARY SINUS; and the SPHENOID SINUS.",MSH,"Air-filled spaces in bones near the nasal cavity, lined with nasal mucosa and named after cranial bones they're in."
C0301559,"Cylindrical rods incised with helical or advancing spiral threads designed to attach or tighten two objects, without the use of nuts or washers, when driven by rotating a manual screwdriver or by a powered rotary handpiece. Screws are typically made of a biocompatible substance that is synthetic (e.g., a bioabsorbable polymer) or metallic. Screws are used clinically in oral, dental, orthopedic, and other procedures; dedicated screws are available for particular uses, including direct internal fracture fixation, oral (maxillary and dental) surgery, and attachment of prostheses (e.g., long bone and skull plates) during orthopedic procedures.",UMD,Cylindrical screws with helical threads used in medical procedures to attach or tighten objects without nuts or washers.
C1279919,At or near the beginning of a period of time or course of events.,NCI,"In the early stages of treatment, it is crucial to monitor and track any changes in the patient's condition."
C0205253,None,None,None
C0079809,None,None,None
C0449774,"An arrangement of objects, facts, behaviors, or other things which have scientific, mathematical, geometric, statistical, or other meaning.",NCI,"Medical keyword denotes organized entities with scientific, mathematical, or statistical significance, crucial for understanding various healthcare phenomena."
C0024671,Radiographic examination of the breast.,MSH,X-ray imaging of the breast for detection of abnormalities such as tumors or calcifications in screening or diagnostic exams.
C0332853,None,None,None
C0243032,Non-invasive method of vascular imaging and determination of internal anatomy without injection of contrast media or radiation exposure. The technique is used especially in CEREBRAL ANGIOGRAPHY as well as for studies of other vascular structures.,MSH,"Non-invasive imaging technique for vascular anatomy, especially used for cerebral angiography and studying other vascular structures."
C4763780,"Smooth or roughly undulating margin in which two or more regions of the nodule extend out from the adjacent surface but having a broader base and smoother convexity than serrations. Lobulations may be subtle. If the nodule has lobulations that are serrated or spiculated, it should be classified as serrated/spiculated.",NCI,"The nodule has smooth, gradually extending regions with a broader base and smoother convexity, possibly with subtle lobulations."
C0205234,Limited to a specific area.,NCI,Restricted to specific region; no further expansion or spread beyond that particular area has occurred.
C0333056,None,None,None
C0884358,Executed and carried through to completion.,NCI,"Medical keyword: Completed and accomplished successfully, implying the successful execution and implementation of a medical procedure or task."
C0227386,"The segment of LARGE INTESTINE between ASCENDING COLON and DESCENDING COLON. It passes from the RIGHT COLIC FLEXURE across the ABDOMEN, then turns sharply at the left colonic flexure into the descending colon.",MSH,"The transverse colon is the part of the large intestine that passes across the abdomen, connecting the ascending and descending colons."
C0242726,"The usually underground portions of a plant that serve as support, store food, and through which water and mineral nutrients enter the plant. (From American Heritage Dictionary, 1982; Concise Dictionary of Biology, 1990)",MSH,Plant roots are underground structures that provide support and store food while absorbing water and nutrients.
C0040456,"A tooth that is prevented from erupting by a physical barrier, usually other teeth. Impaction may also result from orientation of the tooth in an other than vertical position in the periodontal structures.",MSH,A tooth is blocked from coming through due to another tooth or positioning issues within the gums.
C0205088,None,None,None
C0030647,"The flat, triangular bone situated at the anterior part of the KNEE.",MSH,"The patella is a triangular bone located at the front of the knee joint, aiding in proper movement."
C0222600,"The hemispheric projection, including the mammary gland, located on the anterior portion of the chest, lateral to the midline, on the side of the body to the east when facing north.",NCI,"The mammary gland is a hemispheric projection on the anterior chest, situated to the east of the midline."
C0849355,"Taken out of, separated from, or eliminated.",NCI,The medical keyword refers to the process of removing or getting rid of something from the body.
C0058928,"A chemotherapy regimen consisting of etoposide, vincristine, cyclophosphamide, and doxorubicin that may be used in the treatment of small cell lung cancer (SCLC).",NCI,"This chemotherapy regimen treats small cell lung cancer and includes etoposide, vincristine, cyclophosphamide, and doxorubicin."
C0439742,None,None,None
C2827491,The quality of being almost completely transparent to X-rays or other forms of radiation; the amount of radiation that is permitted to pass through a structure.,NCI,"""Radiolucency is the degree of transparency to X-rays or radiation and the amount permitted to pass through."""
C0181074,"Tissues obtained from a donor or produced artificially that are intended to replace a patient's diseased or injured tissue (i.e., grafts). Grafts used in humans may be of biological origin, obtained from the body of the same person (i.e., autograft), from another person (i.e., allograft), or from a different species (i.e., xenografts); of artificial origin, made from synthetic (e.g., Dacron, ceramic) materials; or made from a combination of natural and synthetic materials, including living elements and synthetic materials developed using bioengineering techniques (i.e., bioartificial). Dedicated grafts for particular tissues are available, including bone, skin, blood vessel, tendon, and dura mater.",UMD,"Grafts are tissues used to replace damaged tissue, sourced from the patient, another person, a different species, or artificial materials."
C0226896,The oval-shaped oral cavity located at the apex of the digestive tract and consisting of two parts: the vestibule and the oral cavity proper.,MSH,The oral cavity is an oval-shaped structure at the beginning of the digestive system with a vestibule and proper cavity.
C0025526,"The five cylindrical bones of the METACARPUS, articulating with the CARPAL BONES proximally and the PHALANGES OF FINGERS distally.",MSH,The metacarpus consists of five cylindrical bones that connect the carpal bones to the fingers' phalanges.
C0010090,Broad plate of dense myelinated fibers that reciprocally interconnect regions of the cortex in all lobes with corresponding regions of the opposite hemisphere. The corpus callosum is located deep in the longitudinal fissure.,MSH,The corpus callosum connects the left and right hemispheres of the brain through dense myelinated fibers.
C0232338,"The movement of blood to and from the heart and to the rest of the body's organs, tissues, and cells through the network of arteries, veins, and capillaries. (NCI)",NCI,"Blood flow through arteries, veins, and capillaries carries oxygen and nutrients to tissues while removing waste products."
C1274040,The result of an action.,NCI,Outcome of a medical intervention or treatment.
C0007276,"Branch of the common carotid artery which supplies the anterior part of the brain, the eye and its appendages, the forehead and nose.",MSH,"Branch of common carotid artery supplies anterior brain, eye, forehead, nose."
C0039508,Fibrous bands or cords of CONNECTIVE TISSUE at the ends of SKELETAL MUSCLE FIBERS that serve to attach the MUSCLES to bones and other structures.,MSH,Connective tissue fibers attach muscles to bones and other structures by forming fibrous bands or cords at their ends.
C0332158,None,None,None
C0224520,A form of articulation in which the bones are connected by intervening substance admitting slight motion.,NCI,A joint is a connection between bones with some mobility allowed due to the presence of connective tissue.
C0184906,None,None,None
C0836916,"The outer margins of the ABDOMEN, extending from the osteocartilaginous thoracic cage to the PELVIS. Though its major part is muscular, the abdominal wall consists of at least seven layers: the SKIN, subcutaneous fat, deep FASCIA; ABDOMINAL MUSCLES, transversalis fascia, extraperitoneal fat, and the parietal PERITONEUM.",MSH,"The abdominal wall is composed of layers such as skin, muscles, and peritoneum, extending from the thoracic cage to the pelvis."
C0205413,"Irregular or uneven in quality, texture, or distribution.",NCI,"Uneven distribution or texture in quality, typically referring to abnormal tissue growth or cell pattern in medical terms."
C0230128,None,None,None
C0031050,"A conical fibro-serous sac surrounding the HEART and the roots of the great vessels (AORTA; VENAE CAVAE; PULMONARY ARTERY). Pericardium consists of two sacs: the outer fibrous pericardium and the inner serous pericardium. The latter consists of an outer parietal layer facing the fibrous pericardium, and an inner visceral layer (epicardium) resting next to the heart, and a pericardial cavity between these two layers.",MSH,"The pericardium is a fibro-serous sac surrounding the heart and great vessels, composed of outer fibrous and inner serous layers."
C0225870,"The muscular structure separating the right and the left lower chambers (HEART VENTRICLES) of the heart. The ventricular septum consists of a very small membranous portion just beneath the AORTIC VALVE, and a large thick muscular portion consisting of three sections including the inlet septum, the trabecular septum, and the outlet septum.",MSH,The ventricular septum separates the two lower chambers of the heart and consists of membranous and muscular portions.
C1295725,A straight line through a body or figure that is at a right angle to a given line or plane.,NCI,A perpendicular line is a straight line that intersects another line or plane at a 90-degree angle.
C0332465,None,None,None
C0016504,"The distal extremity of the leg in vertebrates, consisting of the tarsus (ANKLE); METATARSUS; phalanges; and the soft tissues surrounding these bones.",MSH,"The lower part of the leg, including ankle, metatarsus, phalanges, and surrounding soft tissues, is known as the distal extremity."
C0205076,"The outer margins of the thorax containing SKIN, deep FASCIA; THORACIC VERTEBRAE; RIBS; STERNUM; and MUSCLES.",MSH,"The thoracic cage consists of the skin, deep fascia, thoracic vertebrae, ribs, sternum, and muscles around the outer chest area."
C0007874,The neck portion of the UTERUS between the lower isthmus and the VAGINA forming the cervical canal.,MSH,"The cervical canal connects the lower uterus to the vagina, passing through the neck portion of the uterus."
C0018563,"The distal part of the arm beyond the wrist in humans and primates, that includes the palm, fingers, and thumb.",MSH,"The distal arm includes the palm, fingers, and thumb, extending beyond the wrist in humans and primates."
C0205197,To possess every necessary or normal part or component or step; having come or been brought to a conclusion.,NCI,Complete or finished; all parts or steps present; brought to a conclusion.
C0230432,None,None,None
C0012984,"The domestic dog, Canis familiaris, comprising about 400 breeds, of the carnivore family CANIDAE. They are worldwide in distribution and live in association with people. (Walker's Mammals of the World, 5th ed, p1065)",MSH,"The domestic dog, belonging to the carnivore family CANIDAE, consists of around 400 breeds and lives alongside humans globally."
C1522326,"Subject to a process with the aim of readying for some purpose, improving, or remedying a condition.",NCI,"Preparing for a specific purpose, improving, or treating a condition through a targeted process in the medical field."
C1706765,The act of adjusting or aligning objects in relation to each other; the result of this activity.,NCI,Adjusting or aligning objects in relation to each other improves the function and structure of the body part.
C2986846,The maximum standardized uptake value among the pixels (voxels) within a region of interest.,NCI,The highest recorded measurement of activity within a specific area of the body in medical imaging.
